Bank Name,Region,Address,Website,Page Link
11. AGROBANK STOCK COMMERCE BANK TASHKENT REGIONAL MANAGEMENT,Tashkent region,"Uzbekistan, 100128, Tashkent region, Tashkent, Shaykhantakhur district, street ABDULLA KADIRIY, 9",agrobank.uz,https://www.yellowpages.uz/en/company/agrobank-stock-commerce-bank-tashkent-regional-management
12. ANOR BANK STOCK COMPANY,Tashkent region,"Uzbekistan, 100170, Tashkent region, Tashkent, Mirzo-Ulugbek district, travel 5-th SAYRAM, 4",info@anorbank.uz,https://www.yellowpages.uz/en/company/anor-bank-stock-company
13. ASIA ALLIANCE BANK STOCK COMMERCE BANK,Tashkent region,"Uzbekistan, 100047, Tashkent region, Tashkent, Yashnabad district, street MAKHTUMKULI, 2 А",info@aab.uz,https://www.yellowpages.uz/en/company/asia-alliance-bank-stock-commerce-bank-tashkent
14. ASIA ALLIANCE BANK STOCK COMMERCE BANK ALMAZAR BRANCH,Tashkent region,"Uzbekistan, 100069, Tashkent region, Tashkent, Almazar district, street SHIMOLIY OLMAZOR, 13 B",info@aab.uz,https://www.yellowpages.uz/en/company/asia-alliance-bank-stock-commerce-bank-almazar-branch
15. ASIA ALLIANCE BANK STOCK COMMERCE BANK KARSHI BRANCH,Kashkadarya region,"Uzbekistan, 180001, Kashkadarya region, Karshi, street UZBEKISTAN",info@aab.uz,https://www.yellowpages.uz/en/company/asia-alliance-bank-stock-commerce-bank-karshi-branch
16. ASIA ALLIANCE BANK STOCK COMMERCE BANK MIRABAD BRANCH,Tashkent region,"Uzbekistan, 100015, Tashkent region, Tashkent, Mirabad district, street NUKUS, 29 A",info@aab.uz,https://www.yellowpages.uz/en/company/asia-alliance-bank-stock-commerce-bank-mirabad-branch
17. ASIA ALLIANCE BANK STOCK COMMERCE BANK MIRZO-ULUGBEK BRANCH,Tashkent region,"Uzbekistan, 100170, Tashkent region, Tashkent, Mirzo-Ulugbek district, street ZIYOLILAR, 1",info@aab.uz,https://www.yellowpages.uz/en/company/asia-alliance-bank-stock-commerce-bank-mirzo-ulugbek-branch
18. ASIA ALLIANCE BANK STOCK COMMERCE BANK RETAIL SERVICES CENTER OSIYO,Kashkadarya region,"Uzbekistan, Kashkadarya region, Karshi, street GUZAR, 3 А",info@aab.uz,https://www.yellowpages.uz/en/company/asia-alliance-bank-stock-commerce-bank-retail-services-center-osiyo
19. ASIA ALLIANCE BANK STOCK COMMERCE BANK RETAIL SERVICES CENTER YUKSALISH,Kashkadarya region,"Uzbekistan, Kashkadarya region, Karshi, street KARLIK BOGOT",info@aab.uz,https://www.yellowpages.uz/en/company/asia-alliance-bank-stock-commerce-bank-retail-services-center-yuksalish
20. ASIA ALLIANCE BANK STOCK COMMERCE BANK SHAYKHANTAKHUR BRANCH,Tashkent region,"Uzbekistan, 100128, Tashkent region, Tashkent, Shaykhantakhur district, street SHAYKHANTAKHUR, 87 А",info@aab.uz,https://www.yellowpages.uz/en/company/asia-alliance-bank-stock-commerce-bank-shaykhantakhur-branch
21. CLICK,Tashkent region,"Uzbekistan, Tashkent region, Tashkent, Mirzo-Ulugbek district, street SALAR, 35",info@click.uz,https://www.yellowpages.uz/en/company/click
22. DAVR BANK RPIVATE JOINT STOCK COMMERCIAL BANK ALMAZAR BRANCH,Tashkent region,"Uzbekistan, 100057, Tashkent region, Tashkent, Almazar district, massif SHIMOLIY ALMAZAR, 17 B",info@davrbank.uz,https://www.yellowpages.uz/en/company/davr-bank-rpivate-joint-stock-commercial-bank-almazar-branch
23. DAVR BANK RPIVATE JOINT STOCK COMMERCIAL BANK MAIN OPERATIONS DEPARTMENT,Tashkent region,"Uzbekistan, 100021, Tashkent region, Tashkent, Shaykhantakhur district, avenue NAVOI, block А",info@davrbank.uz,https://www.yellowpages.uz/en/company/davr-bank-rpivate-joint-stock-commercial-bank-main-operations-department
24. DAVR BANK RPIVATE JOINT STOCK COMMERCIAL BANK MIRZO-ULUGBEK BRANCH,Tashkent region,"Uzbekistan, 100077, Tashkent region, Tashkent, Mirzo-Ulugbek district, block 2",info@davrbank.uz,https://www.yellowpages.uz/en/company/davr-bank-rpivate-joint-stock-commercial-bank-mirzo-ulugbek-branch
25. DAVR BANK RPIVATE JOINT STOCK COMMERCIAL BANK UCH-TEPA BRANCH,Tashkent region,"Uzbekistan, 100133, Tashkent region, Tashkent, Uchtepa district, street MANNON UYGUR, 3",info@davrbank.uz,https://www.yellowpages.uz/en/company/davr-bank-rpivate-joint-stock-commercial-bank-uch-tepa-branch
26. DAVR BANK RPIVATE JOINT STOCK COMMERCIAL BANK CHILANZAR BRANCH,Tashkent region,"Uzbekistan, 100135, Tashkent region, Tashkent, Chilanzar district, street FARKHAD, 16 А",info@davrbank.uz,https://www.yellowpages.uz/en/company/davr-bank-rpivate-joint-stock-commercial-bank-chilanzar-branch
27. DAVR BANK RPIVATE JOINT STOCK COMMERCIAL BANK YUNUSABAD BRANCH,Tashkent region,"Uzbekistan, 100085, Tashkent region, Tashkent, Yunusabad district, massif YUNUSABAD-8, 27 А",info@davrbank.uz,https://www.yellowpages.uz/en/company/davr-bank-rpivate-joint-stock-commercial-bank-yunusabad-branch
28. DAVR BANK RPIVATE JOINT STOCK COMMERCIAL BANK YAKKASARAY BRANCH,Tashkent region,"Uzbekistan, 100031, Tashkent region, Tashkent, Yakkasaray district, street TAFAKKUR, 37 А",info@davrbank.uz,https://www.yellowpages.uz/en/company/davr-bank-rpivate-joint-stock-commercial-bank-yakkasaray-branch
29. Garant Bank АО  центр банковских услуг Dimax,Tashkent region,"Uzbekistan, Tashkent region, Tashkent, Uchtepa district, 5",info@garantbank.uz,https://www.yellowpages.uz/en/company/garant-bank-ao-centr-bankovskih-uslug-dimax
30. KHAMKORBANK STOCK COMMERCE BANK AVIABUILDING BRANCH,Tashkent region,"Uzbekistan, 100016, Tashkent region, Tashkent, Yashnabad district, travel 1-st ALIMKENT, 5",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-aviabuilding-branch
31. KHAMKORBANK STOCK COMMERCE BANK ALMALYK BRANCH,Tashkent region,"Uzbekistan, 110100, Tashkent region, Almalyk, street MUSTAKILLIK, 10",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-almalyk-branch
32. KHAMKORBANK STOCK COMMERCE BANK ANDIZHAN BRANCH,Andizhan region,"Uzbekistan, 170100, Andizhan region, Andijan , street BOBUR-SHOKH, 85",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-andizhan-branch
33. KHAMKORBANK STOCK COMMERCE BANK ASAKA BRANCH,Andizhan region,"Uzbekistan, Andizhan region, Asaka, street KARVONSAROY, 64",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-asaka-branch
34. KHAMKORBANK STOCK COMMERCE BANK BUKHARA BRANCH,Bukhara region,"Uzbekistan, Bukhara region, Bukhara, street MURTAZAEV, 5",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-bukhara-branch
35. KHAMKORBANK STOCK COMMERCE BANK KUVASAY BRANCH,Fergana region,"Uzbekistan, Fergana region, Kuvasay, street NAVOI, 1",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-kuvasay-branch
36. KHAMKORBANK STOCK COMMERCE BANK KURGANTEPA BRANCH,Andizhan region,"Uzbekistan, Andizhan region, Kurgantepa, street MUSTAKILLIK, 98",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-kurgantepa-branch
37. KHAMKORBANK STOCK COMMERCE BANK MIRABAD BRANCH,Tashkent region,"Uzbekistan, Tashkent region, Tashkent, Mirabad district, street ESKI SARIKUL, 101/1",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-mirabad-branch
38. KHAMKORBANK STOCK COMMERCE BANK NODIRABEGIM BRANCH,Andizhan region,"Uzbekistan, 170100, Andizhan region, Andijan , street BAZARNAYA, 2",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-nodirabegim-branch
39. KHAMKORBANK STOCK COMMERCE BANK SAMARKAND BRANCH,Samarkand region,"Uzbekistan, Samarkand region, Samarkand, street AMIR TEMUR, 149",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-samarkand-branch
40. KHAMKORBANK STOCK COMMERCE BANK TASHKENT BRANCH,Tashkent region,"Uzbekistan, 100066, Tashkent region, Tashkent, Chilanzar district, street FURKAT, 14",contakt@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-tashkent-branch
41. KHAMKORBANK STOCK COMMERCE BANK UCHTEPA BRANCH,Tashkent region,"Uzbekistan, 100157, Tashkent region, Tashkent, Uchtepa district, massif CHILANZAR-24, 39",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-uchtepa-branch
42. KHAMKORBANK STOCK COMMERCE BANK CHILANZAR BRANCH,Tashkent region,"Uzbekistan, 100117, Tashkent region, Tashkent, Chilanzar district, massif CHILANZAR-D20, 4 А",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-chilanzar-branch
43. KHAMKORBANK STOCK COMMERCE BANK CHINAZ BRANCH,Tashkent region,"Uzbekistan, 111600, Tashkent region, Chinaz, street RASHIDOV, 12 А",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-chinaz-branch
44. KHAMKORBANK STOCK COMMERCE BANK SHAYHANTAHUR BRANCH,Tashkent region,"Uzbekistan, Tashkent region, Tashkent, Shaykhantakhur district, street BERUNI, 12 A",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-shayhantahur-branch
45. KHAMKORBANK STOCK COMMERCE BANK SHAKHRIHAN BRANCH,Andizhan region,"Uzbekistan, 171600, Andizhan region, Shakhrikhan, street KHAMZA, 2",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-shakhrihan-branch
46. KHAMKORBANK STOCK COMMERCE BANK YUNUSABAD BRANCH,Tashkent region,"Uzbekistan, 100194, Tashkent region, Tashkent, Yunusabad district, street YANGISHAHAR, 59 A",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-yunusabad-branch
47. KHAMKORBANK STOCK COMMERCE BANK YAKKASARAY BRANCH,Tashkent region,"Uzbekistan, 100100, Tashkent region, Tashkent, Yakkasaray district, street SHOTA RUSTAVELI, 57",contact@hamkorbank.uz,https://www.yellowpages.uz/en/company/khamkorbank-stock-commerce-bank-yakkasaray-branch
48. HI-TECH BANK RPIVATE JOINT STOCK COMMERCIAL BANK,Tashkent region,"Uzbekistan, Tashkent region, Tashkent, Mirabad district, street SHAKHRISABZ, 15 А",info@htb.uz,https://www.yellowpages.uz/en/company/hi-tech-bank-rpivate-joint-stock-commercial-bank
49. INFIN BANK STOCK COMMERCE BANK ANDIZHAN REGIONAL BRANCH,Andizhan region,"Uzbekistan, 170100, Andizhan region, Andijan , street ISTIKLOL, 38",infinbank.uz,https://www.yellowpages.uz/en/company/infin-bank-stock-commerce-bank-andizhan-regional-branch
50. INFIN BANK STOCK COMMERCE BANK BUKHARA REGIONAL BRANCH,Bukhara region,"Uzbekistan, 200118, Bukhara region, Bukhara, avenue NAVOI, 1 B",s.urazov@infinbank.com,https://www.yellowpages.uz/en/company/infin-bank-stock-commerce-bank-bukhara-regional-branch
51. INFIN BANK STOCK COMMERCE BANK HEAD OFFICE,Tashkent region,"Uzbekistan, Tashkent region, Tashkent, Mirabad district, street TARAS SHEVCHENKO, 1",info@infinbank.com,https://www.yellowpages.uz/en/company/infin-bank-stock-commerce-bank-head-office
52. INFIN BANK STOCK COMMERCE BANK ZANGIOTA BRANCH,Tashkent region,"Uzbekistan, 111800, Tashkent region, Zangiata region, settlement ESHONGUZAR, 2",zangiota.info@infinbank.com,https://www.yellowpages.uz/en/company/infin-bank-stock-commerce-bank-zangiota-branch
53. INFIN BANK STOCK COMMERCE BANK NAMANGAN REGIONAL BRANCH,Namangan region,"Uzbekistan, 160100, Namangan region, Namangan, street NODIR, 4",namangan.info@infinbank.uz,https://www.yellowpages.uz/en/company/infin-bank-stock-commerce-bank-namangan-regional-branch
54. INFIN BANK STOCK COMMERCE BANK SAMARKAND REGIONAL BRANCH,Samarkand region,"Uzbekistan, 140100, Samarkand region, Samarkand, street UZBEKISTAN, 22",infinbank.com,https://www.yellowpages.uz/en/company/infin-bank-stock-commerce-bank-samarkand-regional-branch
55. INFIN BANK STOCK COMMERCE BANK SERGELI BRANCH,Tashkent region,"Uzbekistan, 100209, Tashkent region, Tashkent, Sergeli district, massif SERGELI-3, 3",info@infinbank.com,https://www.yellowpages.uz/en/company/infin-bank-stock-commerce-bank-sergeli-branch
56. INFIN BANK STOCK COMMERCE BANK TASHKENT REGIONAL BRANCH,Tashkent region,"Uzbekistan, 111200, Tashkent region, Kibray region, street ZEBUNISO, 7 А",kibray.admin@infinbank.com,https://www.yellowpages.uz/en/company/infin-bank-stock-commerce-bank-tashkent-regional-branch
57. INFIN BANK STOCK COMMERCE BANK UCH-TEPA BRANCH,Tashkent region,"Uzbekistan, 100132, Tashkent region, Tashkent, Uchtepa district, massif CHILANZAR-25, 1",d.ziatdinov@infinbank.com,https://www.yellowpages.uz/en/company/infin-bank-stock-commerce-bank-uch-tepa-branch
58. INFIN BANK STOCK COMMERCE BANK FERGANA REGIONAL BRANCH,Fergana region,"Uzbekistan, 150100, Fergana region, Fergana, street AL-FARGONI, 52",infinbank.uz,https://www.yellowpages.uz/en/company/infin-bank-stock-commerce-bank-fergana-regional-branch
59. INFIN BANK STOCK COMMERCE BANK KHOREZM REGIONAL BRANCH,Khorezm region,"Uzbekistan, 220100, Khorezm region, Urgench, street UZBEKISTAN, 4",infinbank.com,https://www.yellowpages.uz/en/company/infin-bank-stock-commerce-bank-khorezm-regional-branch
60. INFIN BANK STOCK COMMERCE BANK SHAYKHANTAKHUR BRANCH,Tashkent region,"Uzbekistan, 100011, Tashkent region, Tashkent, Shaykhantakhur district, street NAVOI, 18 B",info@infinbank.com,https://www.yellowpages.uz/en/company/infin-bank-stock-commerce-bank-shaykhantakhur-branch
61. KDB BANK UZBEKISTAN STOCK COMPANY HEAD OFFICE,Tashkent region,"Uzbekistan, 100047, Tashkent region, Tashkent, Mirabad district, street BUKHARA, 3",info@kdb.uz,https://www.yellowpages.uz/en/company/kdb-bank-uzbekistan-stock-company-head-office
62. KDB BANK UZBEKISTAN STOCK COMPANY YUNUSABAD BRANCH,Tashkent region,"Uzbekistan, 100084, Tashkent region, Tashkent, Yunusabad district, massif MINOR, 77",info@kdb.uz,https://www.yellowpages.uz/en/company/kdb-bank-uzbekistan-stock-company-yunusabad-branch
63. MADAD INVEST BANK STOCK COMMERCE BANK TASHKENT BRANCH,Tashkent region,"Uzbekistan, Tashkent region, Tashkent, Mirzo-Ulugbek district, square KHAMID ALIMDJAN, 13 А",info@madadinvestbank.uz,https://www.yellowpages.uz/en/company/madad-invest-bank-stock-commerce-bank-tashkent-branch
64. MADAD INVEST BANK STOCK COMMERCE BANK FERGANA BRANCH,Fergana region,"Uzbekistan, 150118, Fergana region, Fergana, street MUSTAKILLIK, 312",info@madadinvestbank.uz,https://www.yellowpages.uz/en/company/madad-invest-bank-stock-commerce-bank-fergana-branch
65. ORIENT FINANS BANK RPIVATE JOINT STOCK COMMERCIAL BANK MIRABAD BRANCH,Tashkent region,"Uzbekistan, 100029, Tashkent region, Tashkent, Mirabad district, 7 А",info@ofb.uz,https://www.yellowpages.uz/en/company/orient-finans-bank-rpivate-joint-stock-commercial-bank-mirabad-branch
66. ORIENT FINANS BANK * RPIVATE JOINT STOCK COMMERCIAL BANK,Tashkent region,"Uzbekistan, 100052, Tashkent region, Tashkent, Mirzo-Ulugbek district, street OSIYO, 5",info@ofb.uz,https://www.yellowpages.uz/en/company/orient-finans-bank-rpivate-joint-stock-commercial-bank-tashkent
67. ORIENT FINANS BANK RPIVATE JOINT STOCK COMMERCIAL BANK SAMARKAND BRANCH,Samarkand region,"Uzbekistan, Samarkand region, Samarkand, street MIRZO ULUGBEK, 48",ofb@ofb.uz,https://www.yellowpages.uz/en/company/orient-finans-bank-rpivate-joint-stock-commercial-bank-samarkand-branch
68. ORIENT FINANS BANK * RPIVATE JOINT STOCK COMMERCIAL BANK,Tashkent region,"Uzbekistan, Tashkent region, Tashkent, Mirabad district, street KICHIK BESH-YOGOCH, 50",ofb@ofb.uz,https://www.yellowpages.uz/en/company/orient-finans-bank-rpivate-joint-stock-commercial-bank-tashkent-1
69. ORIENT FINANS BANK RPIVATE JOINT STOCK COMMERCIAL BANK CHILANZAR BRANCH,Tashkent region,"Uzbekistan, 100115, Tashkent region, Tashkent, Chilanzar district, massif CHILANZAR-3, 55/1",ofb@ofb.uz,https://www.yellowpages.uz/en/company/orient-finans-bank-rpivate-joint-stock-commercial-bank-chilanzar-branch
70. ORIENT FINANS BANK RPIVATE JOINT STOCK COMMERCIAL BANK SHAYKHANTAKHUR BRANCH,Tashkent region,"Uzbekistan, 100004, Tashkent region, Tashkent, Shaykhantakhur district, avenue NAVOI, 33",ofb@ofb.uz,https://www.yellowpages.uz/en/company/orient-finans-bank-rpivate-joint-stock-commercial-bank-shaykhantakhur-branch
71. ORIENT FINANS BANK RPIVATE JOINT STOCK COMMERCIAL BANK YUNUSABAD BRANCH,Tashkent region,"Uzbekistan, 100084, Tashkent region, Tashkent, Yunusabad district, avenue AMIR TEMUR, 95 А",ofb@ofb.uz,https://www.yellowpages.uz/en/company/orient-finans-bank-rpivate-joint-stock-commercial-bank-yunusabad-branch
72. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK ALMAZAR BRANCH,Tashkent region,"Uzbekistan, 100057, Tashkent region, Tashkent, Almazar district, street TESHIK-KOPKOK, 10",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-almazar-branch
73. UZPROMSTROYBANK STOCK COMMERCE BANK ALMALYK BRANCH,Tashkent region,"Uzbekistan, 110111, Tashkent region, Almalyk, street AMIR TEMUR, 28",info@sqb.uz,https://www.yellowpages.uz/en/company/uzpromstroybank-stock-commerce-bank-almalyk-branch
74. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK AL-KHOREZMI BRANCH,Tashkent region,"Uzbekistan, 100208, Tashkent region, Tashkent, Uchtepa district, massif CHILANZAR-30, 16 A",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-al-khorezmi-branch
75. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK AMIR-TEMUR BRANCH,Samarkand region,"Uzbekistan, 140158, Samarkand region, Samarkand, street BUYUK IPAK YULI, 13",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-amir-temur-branch
76. UZPROMSTROYBANK STOCK COMMERCE BANK ANGREN BRANCH,Tashkent region,"Uzbekistan, 110200, Tashkent region, Angren, block 5/1, 3",info@sqb.uz,https://www.yellowpages.uz/en/company/uzpromstroybank-stock-commerce-bank-angren-branch
77. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK ANDIZHAN REGIONAL BRANCH,Andizhan region,"Uzbekistan, 170119, Andizhan region, Andijan , street BOBUR-SHOKH, 36",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-andizhan-regional-branch
78. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK BEKABAD BRANCH,Tashkent region,"Uzbekistan, 110500, Tashkent region, Bekabad, street ABBASOV, 264",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-bekabad-branch
79. UZPROMSTROYBANK STOCK COMMERCE BANK BUNYODKOR BRANCH,Andizhan region,"Uzbekistan, 170100, Andizhan region, Andijan , street AMIR TEMUR, 24",info@sqb.uz,https://www.yellowpages.uz/en/company/uzpromstroybank-stock-commerce-bank-bunyodkor-branch
80. UZPROMSTROYBANK STOCK COMMERCE BANK BUKHARA REGIONAL BRANCH,Bukhara region,"Uzbekistan, 200107, Bukhara region, Bukhara, street BAKHOUDDIN NAKSHBANDI, 257 А",info@sqb.uz,https://www.yellowpages.uz/en/company/uzpromstroybank-stock-commerce-bank-bukhara-regional-branch
81. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK HEAD OFFICE,Tashkent region,"Uzbekistan, 100000, Tashkent region, Tashkent, Yunusabad district, street SHAKHRISABZ, 3",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-head-office
82. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK DZHIZAK REGIONAL BRANCH,Dzhizak region,"Uzbekistan, 130100, Dzhizak region, Jizak, street RASHIDOV, 7",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-dzhizak-regional-branch
83. UZPROMSTROYBANK STOCK COMMERCE BANK KARAULBAZAR BRANCH,Bukhara region,"Uzbekistan, 200900, Bukhara region, Karaul-bazar, street GEOLOG'S, 32",info@sqb.uz,https://www.yellowpages.uz/en/company/uzpromstroybank-stock-commerce-bank-karaulbazar-branch
84. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK KATARTAL BRANCH,Tashkent region,"Uzbekistan, 100097, Tashkent region, Tashkent, Chilanzar district, massif CHILANZAR-6, 30",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-katartal-branch
85. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK KASHKADARYA REGIONAL BRANCH,Kashkadarya region,"Uzbekistan, 180119, Kashkadarya region, Karshi, 2 А",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-kashkadarya-regional-branch
86. UZPROMSTROYBANK STOCK COMMERCE BANK KIBRAY BRANCH,Tashkent region,"Uzbekistan, 111200, Tashkent region, Kibray region, , street ZEBUNISO, 7",info@sqb.uz,https://www.yellowpages.uz/en/company/uzpromstroybank-stock-commerce-bank-kibray-branch
87. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK KIRGULI BRANCH,Fergana region,"Uzbekistan, 150100, Fergana region, Fergana, , street FERGANA, 9",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-kirguli-branch
88. UZPROMSTROYBANK STOCK COMMERCE BANK KOKAND BRANCH,Fergana region,"Uzbekistan, 150700, Fergana region, Kokand, street AMIR TEMUR, 1 А",info@sqb.uz,https://www.yellowpages.uz/en/company/uzpromstroybank-stock-commerce-bank-kokand-branch
89. UZPROMSTROYBANK STOCK COMMERCE BANK KUNGRAD BRANCH,Republic of Karakalpakstan,"Uzbekistan, 230600, Republic of Karakalpakstan, Kungrad, street AYBERGANOV, 2",info@sqb.uz,https://www.yellowpages.uz/en/company/uzpromstroybank-stock-commerce-bank-kungrad-branch
90. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK LABZAK BRANCH,Tashkent region,"Uzbekistan, 100128, Tashkent region, Tashkent, Shaykhantakhur district, street ABAY, 10 A",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-labzak-branch
91. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK MIRABAD BRANCH,Tashkent region,"Uzbekistan, 100015, Tashkent region, Tashkent, Mirabad district, street TURKISTON, 10, office 1",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-mirabad-branch
92. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK MIRZO-ULUGBEK BRANCH,Tashkent region,"Uzbekistan, 100000, Tashkent region, Tashkent, Mirzo-Ulugbek district, street ISTIKLOL, 25",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-mirzo-ulugbek-branch
93. UZPROMSTROYBANK STOCK COMMERCE BANK MUBAREK BRANCH,Kashkadarya region,"Uzbekistan, Kashkadarya region, Mubarek, street ZANJIRSAROY, 22/4",info@sqb.uz,https://www.yellowpages.uz/en/company/uzpromstroybank-stock-commerce-bank-mubarek-branch
94. O'ZSANOATQURILISHBANK STOCK COMMERCE BANK NAVOI REGIONAL BRANCH,Navoi region,"Uzbekistan, 210100, Navoi region, Navoi, 7",info@sqb.uz,https://www.yellowpages.uz/en/company/ozsanoatqurilishbank-stock-commerce-bank-navoi-regional-branch
